;0,9;0,8;0,7;0,6;0,5;0,4;0,3;0,2;0,1;0,05;0,02;0,01
1;0,158;0,325;0,510;0,727;1,000;1,376;1,963;3,078;6,314;12,706;31,821;63,657
2;0,142;0,289;0,445;0,617;0,816;1,061;1,386;1,886;2,920;4,303;6,965;9,925
3;0,137;0,277;0,424;0,584;0,765;0,978;1,250;1,638;2,353;3,182;4,541;5,841
4;0,134;0,271;0,414;0,569;0,741;0,941;1,190;1,533;2,132;2,776;3,747;4,604
5;0,132;0,267;0,408;0,559;0,727;0,920;1,156;1,476;2,015;2,571;3,365;4,032
6;0,131;0,265;0,404;0,553;0,718;0,906;1,134;1,440;1,943;2,447;3,143;3,707
7;0,130;0,263;0,402;0,549;0,711;0,896;1,119;1,415;1,895;2,365;2,998;3,499
8;0,130;0,262;0,399;0,546;0,706;0,889;1,108;1,397;1,860;2,306;2,896;3,355
9;0,129;0,261;0,398;0,543;0,703;0,883;1,100;1,383;1,833;2,262;2,821;3,250
10;0,129;0,260;0,397;0,542;0,700;0,879;1,093;1,372;1,812;2,228;2,764;3,169
11;0,129;0,260;0,396;0,540;0,697;0,876;1,088;1,363;1,796;2,201;2,718;3,106
12;0,128;0,260;0,395;0,539;0,695;0,873;1,083;1,356;1,782;2,179;2,681;3,055
13;0,128;0,259;0,394;0,538;0,694;0,870;1,079;1,350;1,771;2,160;2,650;3,012
14;0,128;0,258;0,393;0,537;0,692;0,868;1,076;1,345;1,761;2,145;2,624;2,977
15;0,128;0,258;0,393;0,536;0,691;0,866;1,074;1,341;1,753;2,131;2,602;2,947
16;0,128;0,258;0,392;0,535;0,690;0,865;1,071;1,337;1,746;2,120;2,583;2,921
17;0,128;0,257;0,392;0,534;0,689;0,863;1,069;1,333;1,740;2,110;2,567;2,898
18;0,127;0,257;0,392;0,534;0,688;0,862;1,067;1,330;1,734;2,101;2,552;2,878
19;0,127;0,257;0,391;0,533;0,688;0,861;1,066;1,328;1,729;2,093;2,539;2,861
20;0,127;0,257;0,391;0,533;0,687;0,860;1,064;1,325;1,725;2,086;2,528;2,845
21;0,127;0,257;0,391;0,532;0,686;0,859;1,063;1,323;1,721;2,080;2,518;2,831
22;0,127;0,256;0,390;0,532;0,686;0,858;1,061;1,321;1,717;2,074;2,508;2,819
23;0,127;0,256;0,390;0,532;0,685;0,858;1,060;1,319;1,714;2,069;2,500;2,807
24;0,127;0,256;0,390;0,531;0,685;0,857;1,059;1,318;1,711;2,064;2,492;2,797
25;0,127;0,256;0,390;0,531;0,684;0,856;1,058;1,316;1,708;2,060;2,485;2,787
26;0,127;0,256;0,390;0,531;0,684;0,856;1,058;1,315;1,706;2,056;2,479;2,779
27;0,127;0,256;0,389;0,531;0,684;0,855;1,057;1,314;1,703;2,052;2,473;2,771
28;0,127;0,256;0,389;0,530;0,683;0,855;1,056;1,313;1,701;2,048;2,467;2,763
29;0,127;0,256;0,389;0,530;0,683;0,854;1,055;1,311;1,699;2,045;2,462;2,756
30;0,127;0,256;0,389;0,530;0,683;0,854;1,055;1,310;1,697;2,042;2,457;2,750
